ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
121,Qwant (extension de recherche),Plugin pour l'ajout du moteur de recherche Qwant,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,Firefox,,,,,,X11,,,MIMO,5,
122,Redmine,Outil de gestion de projet,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,119 ; 192,Q1149365,197,GPL-2.0,,,MIMDEV,3.X,
123,Reports (rapports),Rapports supplémentaires à ceux inclus par défaut dans GLPI,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,GLPI,,Oui,,,298,AGPL-3.0,,,MIMO,1.12.1,
124,Rocketchat,Messagerie instantanée,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q24050001,200,MIT,,,MIMO,N/A,
125,Rundeck,Orchestration,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,Oui,,Q56317793,229,Apache-2.0,Conteneurs,,MIMPROD,Distribution,
126,SaltStack,Déploiement,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q7405800,224,Apache-2.0,Services déconcentrés,,MIMPROD,Distribution,
127,Samba,Partage de fichiers,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1830735,142,GPL-3.0-only,Infra virtuelle,,MIMPROD,4.9,
128,Scribus,PAO,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q8295,76,GPL-2.0-only,,,MIMO,1.5,
129,Selenium IDE,Automatisation des tests Web,2018 ; 2019,FR,,,Oui,,Q752522,311,Apache-2.0,,,MIMDEV,3.14,
130,Selenium Server,Automatisation des tests Web,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,,188,Apache-2.0,,,MIMDEV,3.14,
131,Shinken,Supervision Infrastructure et composants,2019 ; 2020 ;,FR,,,,,Q3482264,302,AGPL-3.0-only,Infra virtuelle,,MIMPROD,2.4.3,
132,SOAP UI Open Source,Outil d'aide aux tests techniques,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q2296314,186,EUPL-1.1,Tests orientés Web Services,,MIMDEV,5.6.x,
133,SonarQube,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q541691,181,LGPL-3.0-only,,,MIMDEV,7.9,
134,SonarQube Plugins : FindBugs,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,SonarQube,,Oui,,,307,LGPL-3.0-only,,,MIMDEV,6.7 (à confirmer),
135,Spring Boot,Environnement de développement,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,Oui,,,172,Apache-2.0,,,MIMDEV,2.X,
136,Squash TF,Automatisation des tests,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,,189,LGPL-3.0-only,,,MIMDEV,1.21.0,
137,Squash TM,Gestion des campagnes de tests,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,,190,LGPL-3.0-only,,,MIMDEV,1.21.1,
138,Squid,Proxy,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q841783,159,GPL-3.0-only,Services déconcentrés,,MIMPROD,Distribution,
139,SumatraPDF,Lecture simple de fichier PDF,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q479808,57,GPL-3.0-only,Sans remplissage de formulaire ni vérification de signature,,MIMO,3.1.2,
140,Swarm,Orchestration,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,,,Q7653883,230,AGPL-3.0,Conteneurs,,MIMPROD,Distribution,
141,Swift (OpenStack),Stockage Objet,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,,,Apache-2.0,Services déconcentrés,,MIMPROD,Distribution,
142,Sympa,Liste de diffusion/discussion,2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1850168,281,GPL-2.0,Version 6.2.60 utilisée sur le réseau RENATER,,MIMO,N/A,
143,Syslog-ng,Gestion des logs en mode centralisé,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q467865,242,"LGPL-2.1, LGPL-2.0,  LGPL-3.0",Serveur Bureautique,,MIMPROD,Distribution,
144,Talend Open Studio for Data Integration (BASIC),Reprise des données,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q17097860,196,Apache-2.0,Outil d'automatisation de la reprise de données,,MIMDEV,7.3.x,
145,Tanaguru,Vérification de la conformité de l'application aux règles d'accessibilité,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,Oui,,,305,AGPL-3.0,,,MIMDEV,6.0.0,
146,Testlink,Gestion des campagnes de tests,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q248384,191,GPL-2.0-only,,,MIMDEV,1.9.14,
147,Thunderbird,Courrielleur,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q483604,80,MPL-2.0,Courrielleur,,MIMO,68,
148,TimeLineTicket,Affichage graphique des délais de prise en compte des incidents + indicateurs sous forme de rapports,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,GLPI,,,,,96,GPL-2.0-only,Gestion des tickets,,MIMO,9.3+1.1,
149,uBlock Origin,Bloqueur des publicités et des pisteurs,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,Firefox,,,,Q19881587,288,GPL-3.0,,,MIMO,1.24.2,
150,uMap,Informations géographiques,2019 ; 2020 ; 2021 ; 2022,O,,,,,,292,BSD-3.0,,,MIMO,N/A,
151,Uninstall,Désinstallation d'objets inventoriés,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,GLPI,,Oui,,,94,GPL-2.0-only,Gestion parc,,MIMO,2.6.2,
152,Varnish,Cache web,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1602447,214,BSD-3-Clause,Services déconcentrés,,MIMPROD,Distribution,
153,Vault,Stockage Securisé,2019 ; 2020 ; 2021 ; 2022,O,,,Oui,,Q4052619,312,BSD-2-Clause,Services déconcentrés,,MIMPROD,N/A,
154,VeraCrypt,Chiffrement de disques,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,,,Q19911889,51,AGPL-3.0,,,MIMO,1.24,
155,Visual Studio Code,Environnement de développement,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q19841877,171,MIT,Outil et/ou plugin de génération de tout ou partie du code,,MIMDEV,Dernière stable,
156,VLC,Lecteur multimédia,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q171477,62,GPL-2.0-only,La version 3.0.7.1 est utilisée à la Gendarmerie nationale,,MIMO,3.0.8,
157,VRT network equipment,Galerie d'images,2019 ; 2020 ; 2021 ; 2022,R,LibreOffice,,,,,289,CC-BY-SA-4.0,Diagrammes informatiques,,MIMO,1.2,
158,WAPT Community,"Déploiement, mise à jour et suppression des logiciels et des configurations sur un parc Windows - **Attention**, [WAPT Community n'est plus développé](https://www.tranquil.it/wapt-community-changements-majeurs-2021/)",2019 ; 2020 ; 2021 ; 2022,O,,,,,Q50829216,261,GPL-3.0-only,Gestion de parc,,MIMO,1.8.2,
159,WebAccess,Outil de dev pour l'accessibilité,2019 ; 2020 ; 2021 ; 2022,O,NVDA,,Oui,,,,GPL-2.0-only,,,MIMO,2021.02.10,
160,WebService,Serveur de services web permettant à une application externe d'interroger et de piloter GLPI.,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,GLPI,,Oui,,,295,GPL-2.0-or-later,,,MIMO,1.9.1,
161,Wekan,Gestion de tâches,2019 ; 2020 ; 2021 ; 2022,O,,,,,Q50558592,260,MIT,,,MIMO,N/A,
162,Wordpress,Système de gestion de contenus web,2019 ; 2020 ; 2021 ; 2022,R,,,Oui,36 ; 173 ; 203 ; 211,Q13166,38,GPL-2.0-only,Version 5.3.2 utilisée sur etalab.gouv.fr,,MIMO,N/A,
163,Yarn,Outil de gestion des dépendances,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,,,Q28975591,177,BSD-2-Clause,,,MIMDEV,1.21.0,
164,Rudder,Audit et configuration continus,2018 ; 2020 ; 2021 ; 2022,R,,,,,Q16673801,227,GPL-3.0-or-later,En 5.0 chez le référent,,MIMPROD,Distribution,
165,SonarQube Plugins : CheckStyle,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,SonarQube,,Oui,,,308,LGPL-3.0-only,,,MIMDEV,6.7 (à confirmer),
166,SonarQube Plugins : Pmd,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,SonarQube,,Oui,,,309,LGPL-3.0-only,,,MIMDEV,6.7 (à confirmer),
167,Squash TF Java Junit Runner,Automatisation des tests,2020 ; 2021 ; 2022,R,Squash TF,,,,,189,LGPL-3.0-only,,,MIMDEV,1.21.0,
168,Squash TF Cucumber Java Runner,Automatisation des tests,2020 ; 2021 ; 2022,R,Squash TF,,,,,189,LGPL-3.0-only,,,MIMDEV,1.21.0,
169,Squash TF Execution Server,Automatisation des tests,2020 ; 2021 ; 2022,R,Squash TF,,,,,189,LGPL-3.0-only,,,MIMDEV,1.21.0,
170,Squash KeywordFramework,Automatisation des tests,2020 ; 2021 ; 2022,R,Squash TF,,,,,189,LGPL-3.0-only,,,MIMDEV,1.21.0,
171,SOGo,Outil de webmail,2020 ; 2021 ; 2022,R,,,,68 ; 202,Q1523357,139,GPL-3.0-only,,,MIMO,N/A,
172,Zammad,Application web pour la gestion du support,2020 ; 2021 ; 2022,O,,,Oui,54,Q71389626,355,AGPL-3.0,En version 3.1 à la DINUM (Etalab),,MIMO,N/A,
173,Jekyll,Outil de génération de sites web statiques,2020 ; 2021 ; 2022,R,,,,36 ; 162 ; 203 ; 211,Q17067385,356,MIT,En version 3.1.2 à la DINUM (Etalab),,MIMO,N/A,
174,GNU Emacs,Éditeur de textes et environnement de développement,2020 ; 2021 ; 2022,R,,,,97 ; 215 ; 38,Q1252773,,GPL-3.0-or-later,En version 26.3 à la DINUM (Etalab),,MIMO,N/A,
175,Cachet,Outil de monitoring de service,2020 ; 2021 ; 2022,O,,,,,,357,BSD-3-Clause,En version 2.3.18 à la DINUM (Etalab),,MIMO,N/A,
176,Matomo,Outil de statistiques de fréquentation de sites web,2020 ; 2021 ; 2022,R,,,Oui,,Q34162,358,GPL-3.0-or-later,En version 4.5.0 à la DINUM (Etalab),,MIMPROD,Dernière stable,
177,postfix.admin,Outil de gestion de configuration postfix,2020 ; 2021 ; 2022,R,,,,,,359,GPL-2.0-or-later,En version 3.2 à la DINUM (Etalab),,MIMPROD,N/A,
178,Proxmox VE,Outil de gestion de machines virtuelles,2020 ; 2021 ; 2022,R,,,Oui,,Q344376,113,AGPL-3.0,En version 5.4-13 à la DINUM (Etalab),,MIMPROD,6.x,
179,Yunohost,Outil de déploiement d'applications,2020 ; 2021 ; 2022,O,,,,,Q15971793,361,AGPL-3.0,En version 3.6.5.3 à la DINUM (Etalab),,MIMPROD,N/A,
180,CodiMD,Outil de partage de notes,2020,FR,,,,223,Q98731953,362,AGPL-3.0,"En version 1.4.1 à la DINUM, remplacé par Hedgedoc",,MIMO,N/A,
181,git-crypt,Outil de chiffrement dans les dépôts Git,2020 ; 2021 ; 2022,R,,,,,,363,GPL-3.0,,,MIMDEV,Version distribution,
